order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max
28,2188.8918839957,78.1747101427,2149.8045289244,2227.9792390671,0.0035078396,0.0034451996,0.0035704795,22285.7142857143,22690.9090909091,21894.7368421053
29,2113.4128535131,72.8763052936,2076.9747008663,2149.8510061599,0.0033868796,0.0033284851,0.003445274,21517.2413793103,21894.7368421053,21152.5423728814
30,2042.965758396,68.0988586132,2008.9163290894,2077.0151877026,0.0032739836,0.0032194172,0.00332855,20800,21152.5423728814,20459.0163934426
31,1977.0636371574,63.7762463599,1945.1755139775,2008.9517603374,0.0031683712,0.0031172685,0.003219474,20129.0322580645,20459.0163934426,19809.5238095238
32,1915.2803984962,59.852512453,1885.3541422697,1945.2066547228,0.0030693596,0.0030214009,0.0031173184,19500,19809.5238095238,19200
33,1857.2415985418,56.2800484407,1829.1015743215,1885.3816227621,0.0029763487,0.0029312525,0.0030214449,18909.0909090909,19200,18626.8656716418
34,1802.6168456435,53.0181425189,1776.1077743841,1829.125916903,0.002888809,0.0028463266,0.0029312915,18352.9411764706,18626.8656716418,18086.9565217391
35,1751.1135071966,50.0318144913,1726.0975999509,1776.1294144422,0.0028062716,0.0027661821,0.0028463612,17828.5714285714,18086.9565217391,17577.4647887324
36,1702.47146533,47.2908740369,1678.8260283115,1726.1169023485,0.0027283197,0.0026904263,0.002766213,17333.3333333333,17577.4647887324,17095.8904109589
37,1656.4587230238,44.7691546763,1634.0741456856,1678.8433003619,0.0026545813,0.0026187086,0.002690454,16864.8648648649,17095.8904109589,16640
38,1612.8677039968,42.4438869473,1591.6457605232,1634.0896474705,0.0025847239,0.0025507144,0.0026187334,16421.0526315789,16640,16207.7922077922
39,1571.5121218431,40.2951826114,1551.3645305374,1591.6597131488,0.0025184489,0.0024861611,0.0025507367,16000,16207.7922077922,15797.4683544304
40,1532.224318797,38.3056079699,1513.071514812,1551.377122782,0.0024554877,0.0024247941,0.0024861813,15600,15797.4683544304,15407.4074074074
41,1494.8529939483,36.4598291207,1476.6230793879,1513.0829085086,0.0023955977,0.0023663831,0.0024248124,15219.512195122,15407.4074074074,15036.1445783133
42,1459.2612559971,34.744315619,1441.8890981877,1476.6334138066,0.0023385597,0.0023107197,0.0023663997,14857.1428571429,15036.1445783133,14682.3529411765
43,1425.3249477181,33.1470918074,1408.7514018144,1441.8984936218,0.0022841746,0.0022576144,0.0023107348,14511.6279069767,14682.3529411765,14344.8275862069
44,1392.9311989064,31.6575272479,1377.1024352824,1408.7599625303,0.0022322615,0.0022068949,0.0022576281,14181.8181818182,14344.8275862069,14022.4719101124
45,1361.977172264,30.2661593836,1346.8440925722,1377.1102519558,0.0021826557,0.002158404,0.0022069075,13866.6666666667,14022.4719101124,13714.2857142857
46,1332.368972867,28.9645428884,1317.8867014228,1346.8512443112,0.0021352067,0.0021119979,0.0021584155,13565.2173913043,13714.2857142857,13419.3548387097
47,1304.0206968485,27.7451212095,1290.1481362437,1317.8932574533,0.0020897768,0.0020675451,0.0021120084,13276.5957446809,13419.3548387097,13136.8421052632
